table,table_title,sequence,column_name,label,data_type,units,minimum,maximum,domain,allowed_values,description
chaashto,Horizon AASHTO,1,aashtocl,AASHTO,Choice,,,,aashto_group_classification,"A-1: Granular materials (35% or less passing No. 200 sieve), silty or clayey gravel and sand. Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-1-a: Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-1-b: Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-2: Granular materials (35% or less passing No. 200), silty or clayey gravel and sand. Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-2-4: Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-2-5: Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-2-6: Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-2-7: Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-3: Granular materials (35% or less passing No. 200), fine sand. Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-4: Silt-Clay materials (more than 35% passing NO. 200), silty soils. Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-5: Silt-Clay Materials (more than 35% passing No. 200), clayey soils. Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-6: Silt-Clay materials (more than 35% passing No. 200) clayey soils. Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-7: Silt-Clay materials (more than 35% passing No. 200), clayey soils. Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-7-5: Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-7-6: Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984. | A-8: Reference: This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.","A rating based on a system that classifies soils according to those properties that affect roadway construction and maintenance. Soils are classified into seven basic groups plus eight subgroups, for a total of fifteen for mineral soils. Another class for organic soils is used. The groups are based on determinations of particle-size distribution, liquid limit, and plasticity index. The group classification, including group index, is useful in determining the relative quality of the soil material for use in earthwork structures, particularly embankments, subgrades, subbases, and bases. (American Association of State Highway and Transportation Officials)"
chaashto,Horizon AASHTO,2,rvindicator,RV?,Boolean,,,,,,A yes/no field that indicates if a listed AASHTO classification is representative for the horizon.
chaashto,Horizon AASHTO,3,chkey,Chorizon Key,String,,,,,,The unique identifier of a record in the Horizon table. Use this column to join the Horizon AASHTO table to the Horizon table.
chaashto,Horizon AASHTO,4,chaashtokey,Chorizon AASHTO Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Horizon AASHTO table.
chconsistence,,1,rupresblkmst,Rupture Moist,Choice,,,,rupture_resist_block_moist,Loose: Aggregated or block-type specimen not obtainable. | Very friable: Stress applied ranges from 0 to 8 newtons. (SSM) | Friable: Stress applied ranges from 8 to 20 newtons. (SSM) | Slightly firm | Firm: Stress applied ranges from 20 to 40 newtons. (SSM) | Very firm: Stress applied ranges from 40 to 80 newtons. (SSM) | Extremely firm: Stress applied ranges from 80 to 160 newtons. (SSM) | Extremely firm when moist: Stress applied ranges from 80 to 800 newtons. (SSM) | Extremely firm* | Slightly rigid: Stress applied ranges from 160 to 800 newtons. (SSM) | Rigid: Stress applied ranges from 800 newtons to 3 joules. (SSM) | Very rigid: Stress applied is greater than or equal 3 joules. (SSM),The rupture resistance of a block-shaped specimen of 25 to 30 mm size and moist water state. (SSM)
chconsistence,,2,rupresblkdry,Rupture Dry,Choice,,,,rupture_resist_block_dry,Loose: Aggregated or block-type specimen not obtainable. | Soft: Stress applied ranges from 0 to 8 newtons. (SSM) | Slightly hard: Stress applied ranges from 8 to 20 newtons. (SSM) | Somewhat hard | Moderately hard: Stress applied ranges from 20 to 40 newtons. (SSM) | Hard: Stress applied ranges from 40 to 80 newtons. (SSM) | Very hard: Stress applied ranges from 80 to 160 newtons. (SSM) | Extremely hard: Stress applied ranges from 160 to 800 newtons. (SSM) | Rigid: Stress applied ranges from 800 newtons to 3 joules. (SSM) | Very rigid: Stress applied is greater than or equal 3 joules. (SSM) | Hard when dry: Stress applied ranges from 20 to 80 newtons. (SSM),The rupture resistance of a block-shaped specimen of 25 to 30 mm size and dry water state. (SSM)
chconsistence,,3,rupresblkcem,Rupture Cement,Choice,,,,rupture_resist_block_cem,Noncemented: Stress applied ranges from 0 to 8 newtons. (SSM) | Extremely weakly cemented: Stress applied ranges from 8 to 20 newtons. (SSM) | Very weakly cemented: Stress applied ranges from 20 to 40 newtons. (SSM) | Weakly cemented: Stress applied ranges from 40 to 80 newtons. (SSM) | Weakly cemented*: Stress applied ranges from 8 to 80 newtons. (SSM) | Moderately cemented: Stress applied ranges from 80 to 160 newtons. (SSM) | Moderately cemented*: Stress applied ranges from 80 to 800 newtons. (SSM) | Strongly cemented: Stress applied ranges from 160 to 800 newtons. (SSM) | Strongly cemented*: Stress applied ranges from 800 newtons to 3 joules. (SSM) | Very strongly cemented: Stress applied ranges from 800 newtons to 3 joules. (SSM) | Indurated: Stress applied is greater than or equal 3 joules. (SSM) | Extremely strong | hard | soft,The rupture resistance of a block-like specimen of 25 to 30 mm size that has been air dried and then submerged in water. (SSM)
chconsistence,,4,rupresplate,Rupture Plate,Choice,,,,rupture_resist_plate,Extremely weak | Very weak | Weak | Moderate | Moderately strong | Strong | Very strong | Extremely strong,The rupture resistance of an air dry plate-shaped specimen of specified size. (SSM)
chconsistence,,5,mannerfailure,Manner of Failure,Choice,,,,manner_of_failure,"Brittle: The speciman retains its size and shape (no deformation) until it rupture abruptly into subunits or fragments. (SSM) | Semideformable: Deformation occurs prior to rupture. Cracks develop and the speciman ruptures before compression to half its original thickness. (SSM) | Deformable: The speciman can be compressed to half its original thickness without rupture. Radial cracks may appear and extend inward less than half the radius normal to compression. (SSM) | Nonfluid: None of the speciman flows through the fingers after exerting full compression. (SSM) The approximate equivalent n-value is less than 0.7. (Pons and Zonneveld, 1965) | Slightly fluid: After exerting full compression, some of the speciman flows through the fingers, but most remains in the palm of the hand. The approximate equivalent n-value is 0.7 to 1. (Pons and Zonneveld, 1965) | Moderately fluid: After exerting full compression, most of the speciman flows through the fingers; a small residue remains in the palm of the hand. The approximate equivalent n-value is 1 to 2. (Pons and Zonneveld, 1965) | Strongly fluid | Very fluid: Under very gentle pressure most of the speciman flows through the fingers like a slightly viscous fluid; very little or no residue remains in the palm of the hand. (SSM) The approximate equivalent n-value is equal to or greater than 2. (Pons and Zonneveld, 1965) | Nonsmeary: At failure, the speciman does not chage suddenly to a fluid, the fingers do not skid, and no smearing occurs. (SSM) | Weakly smeary: At failure, the speciman changes suddenly to fluid, the fingers skid, and the soil smears. Afterward, little or no free water remains on the fingers. (SSM) | Moderately smeary: At failure, the speciman changes suddenly to fluid, the fingers skid, and the soil smears. Afterward, some free water can be seen on the fingers. (SSM) | Strongly smeary: At failure, the speciman suddenly changes to fluid, the fingers skid, the soil smears, and is very slippery. Afterward, free water is easliy seen on the fingers. (SSM) | Smeary",The manner in which soil specimens fail under increasing force. (SSM)
chconsistence,,6,stickiness,Stickiness,Choice,,,,stickiness,"Nonsticky: After release of pressure, practically no soil material adheres to the thumb or forefinger. (SSM) | Slightly sticky: After release of pressure, soil material adheres perceptible to both digits. As the digits are separated, the material tends to come off one or the other rather cleanly. The material does not stretch appreciably on separation of the digits. | Moderately sticky: After release of pressure, soil material adheres to both digits and tends to stretch slightly rather than pull completely free from either digit. | Very sticky: After release of pressure, soil material adheres so strongly to both digits that it stretches decidely when the digits are separated. Soil material remains on both digits.",The maximum capacity of thoroughly puddled soil to adhere to other objects.
