areasymbol,spatialver,longitude,latitude,musym,mukey,muname,component_name,component_percent_r,horizon_name,horizon_top_cm,horizon_bottom_cm,ph1to1h2o_r,ph01mcacl2_r,cec7_r,ecec_r,sumbases_r,caco3_r,gypsum_r,sar_r,pbray1_r,poxalate_r,ph2osoluble_r,ptotal_r
FL071,8,-82.15526045,26.46702871,4,3102832,"Canaveral fine sand-Urban land complex, 0 to 2 percent slopes",Canaveral,50,A1,0,18,7.6,,2.7,,4.2,0,0,1,,,,
FL071,8,-82.02734788,26.65936325,129,3102894,"Pineda fine sand-Urban land complex, 0 to 2 percent slopes",Pineda,40,A,0,3,5.4,5.2,,0.1,0.1,0,0,1,,,,
FL071,8,-81.76758682,26.63002413,34,1483428,"Malabar fine sand, 0 to 2 percent slopes",Malabar,85,A,0,13,5.3,5.3,,0.2,0.2,0,0,1,,,,
FL071,8,-81.78185812,26.63062803,69,1483458,"Matlacha gravelly fine sand, 0 to 2 percent slopes",Matlacha,90,^C,0,89,7,,3.5,,3.3,0,0,1,,,,
FL071,8,-81.79377620,26.63224061,125,3102888,"Oldsmar sand-Urban land, 0 to 2 percent slopes",Oldsmar,45,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-81.77668823,26.62843174,39,3102870,"Isles fine sand, frequently ponded, 0 to 1 percent slopes",Isles,80,A,0,13,6.2,,1.7,,1.5,0,0,6,,,,
FL071,8,-81.80924116,26.63563358,102,3236259,"Cypress Lake fine sand-Urban land complex, 0 to 2 percent slopes",Cypress Lake,42,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-82.20796369,26.68622437,24,3102876,"Kesson fine sand, tidal, 0 to 1 percent slopes",Kesson,88,Akn,0,15,8,,2,,64.8,2,0,25,,,,
FL071,8,-81.74822063,26.62423815,125,3102888,"Oldsmar sand-Urban land, 0 to 2 percent slopes",Oldsmar,45,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-81.81276833,26.63550708,13,3236254,"Cypress Lake fine sand, 0 to 2 percent slopes",Cypress Lake,80,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.80074468,26.63220793,119,3102873,"Malabar fine sand-Urban land complex, 0 to 2 percent slopes",Malabar,45,A,0,13,5.3,5.3,,0.2,0.2,0,0,1,,,,
