STATE,COUNTY,NAME,OWNER,CITY,TYPE,PURPOSE,MGD MAX,START DESAL,DISPOSAL CONCENTRATE,WATER SOURCE,DESAL REASON / TREATMENT,CONCENTRATE POST-TREATMENT,DESAL DESIGN PRODUCTION (mgd),DESAL AVERAGE PRODUCTION (mgd),PLANT DESIGN PRODUCTION (mgd),PLANT AVERAGE PRODUCTION (mgd),BLENDING?,RAW WATER TDS OR CONDUCTIVITY,PRE-TREATMENT,FEED PRESSURE TO DESAL (psi),MEMBRANE RECOVERY (%),PERMEATE TDS OR CONDUCTIVITY,BLEND TDS OR CONDUCTIVITY,BLEND RATIO (PERMEATE : OTHER),BLEND WATER SOURCE,PERMEATE POST-TREATMENT,AGE OF MEMBRANE / LAST REPLACEMENT (yr),FATE OF WASTEWATER CLEANING,FATE OF WASTE BACKWASH,SOURCE SECTION,SOURCE EXCEL ROW
FL,LEE,Green Meadows WTP,Lee County Utilities,Ft. Myers,Reverse osmosis,Drinking water,7.5,2018,Deep well injection,Groundwater,plant expansion and replacement of old existing facility,none,7.5,not on line yet,will vary,not on line yet,yes,1860 mg/L TDS equivalent,"sand filter, cartridge filter, acid",167,85,36,223,roughly 9 : 6,bypass and IX treated surficial water,"sulfuric acid, degasification, disinfection (chloramination), pH control (caustic), fluoride, corrosion inhibitor",new plant,Deep well injection,none,FLORIDA FACILIITIES,9
FL,Charlotte & Lee,Babcock Ranch Water System,Babcock Ranch,Babcock Ranch,Nanofiltration,Drinking water,0.25,2017,combined with wastewater treatment plant effluent; used for irrigation,Groundwater,"hardness, color",none,0.25,none,none,none,yes,512-608 mg/L TDS equivalent,"antiscalant, cartridge filters, sulfuric acid",108-117,84,"200-250, depends on source wells",none,~8 : 1,raw water bypass,"blending, degasification, disinfection, caustic, CO2",had to replace original membranes due to super chlorination incident at start-up,none,none,FLORIDA FACILIITIES,10
FL,BROWARD,NSID NF WTP,North Springs Water Improvement District,Coral Springs,Nanofiltration,Drinking water,6.75,2016,Sewer discharge,Groundwater,"taste and odor, total organic carbon, hardness, hydrogen sulfide",none,none,none,none,none,yes,none,"strainer, cartridge filter, H2SO4, scale inhibitor",none,none,none,none,80 to 95 % permeate,source water after cartridge filter,"H2SO4, degasification (for H2S), hypochlorite; NaOH of pH stability; corrosion inhibitor; ammonium sulfite to form chloramine to reduce DBP formation",none,none,none,FLORIDA FACILIITIES,11
FL,BROWARD,Coral Springs IMP Dist./DIW++ CSID,Coral Springs Improvement District,Coral Springs,Reverse osmosis,Drinking water,6.75,2016,Deep well injection (discharge is to tail end of wastewater treatment plant for Deep well injection),Groundwater,better water quality,none,6.75,~4,none,none,yes,600-700 mg/L TDS equivalent,"sand strainer, antiscalant, cartridge filters",93-105,85,20-45 mg/l,140 mg/L,8-15% bypass,bypass after sand strainer and cartridge filters,none,on original membranes,Deep well injection,none,FLORIDA FACILIITIES,12
FL,PALM BEACH,Hood Road Membrane WP,Seacoast Utilities Authority,none,Nanofiltration,Drinking water,26,2015,blend with wastewater treatment plant effluent for irrigation; when not possible --> Deep well injection,Groundwater,replace lime softening,none,26,both an NF and RO plant; varies with demand; at higher demand NF portion is greater; typical = 17.5,29.5 (26 MF + 3.5 RO),varies with demand,no,512 mg/L TDS equivalent,"sand filter, antiscalant, cartridge filter, acid (sulfuric)",95,80,350 µS/cm,NAP,NAP,NAP,"degasification, disinfection (chloramination), pH adjustment (caustic), corrosion inhibitor (phosphate)",on original membranes,sewer,none,FLORIDA FACILIITIES,13
FL,PINELLAS,Tarpon Springs RO Facility,City of Tarpon Springs,Tarpon Springs,Reverse osmosis,Drinking water,6.4,2015,Deep well injection,Groundwater,total dissolved solids,none,6.4,2.5,none,none,yes,11520-12800 mg/L TDS equivalent,"acid, antiscalant, cartridge filters",350 (to 1st stage); 450 (to 2nd stage),72,297 µS/cm,none,presently only 5 gpm bypass,bypass,"pH adjustment (CO2), alkalinity and hardness (lime and caustic), disinfection (hypochlorite), fluoride",on original membranes,Deep well injection (haven't cleaned yet),none,FLORIDA FACILIITIES,14
FL,PINELLAS,Clearwater #2,City of Clearwater,Clearwater,Reverse osmosis,Drinking water,6.25,2015,Deep well injection,Groundwater,"total dissolved solids, iron, hardness",none,6.25,2.5,none,none,yes,2800-4500 (depends on well mix) mg/L TDS equivalent,"antiscalant, cartridge filters",180-190,80,none,none,none,surficial aquifer water,"ozone (for sulfide removal); chloramination, caustic, stabilization",design flaw led to early scaling with damage to some membranes; still using original membranes on the 1 skid that’s operating,sewer,none,FLORIDA FACILIITIES,15
FL,PALM BEACH,Hood Road Membrane WP,Seacoast Utilities Authority,none,Reverse osmosis,Drinking water,3.5,2015,Deep well injection,Groundwater,total dissolved solids,none,3.5,both an NF and RO plant; varies with demand; at higher demand NF portion is greater; typical = 17.5,29.5 (26 MF + 3.5 RO),varies with demand,no,3840 mg/L TDS equivalent,"antiscalant, cartridge filter, acid (sulfuric)",240,75,NAV,NAP,NAP,NAP,"degassing, disinfection (chloramination), pH adjustment (caustic), corrosion inhibitor (phosphate)",on original membranes,sewer,none,FLORIDA FACILIITIES,16
FL,HENDRY,Labelle WTP No. 2,City of Labelle,Labelle,Reverse osmosis,Drinking water,1.5,2014,Deep well injection,Groundwater,previously out of compliance with trihalomethanes; new source water required total dissolved solids removal,none,1.5,0.75,1.68,none,yes,depends on which wells are used; 2176 and 2752 mg/L TDS equivalent,"antiscalant, pre-filter",150-160,70,<100 mg/l,700 µS/cm,~ 9 : 1,raw water bypass,"degasification, chlorination, fluoridation",on original membranes,none,none,FLORIDA FACILIITIES,17
FL,MIAMI-DADE,City of Hialeah RO WTP,City of Hialeah Water and Sewer Department,Hialeah,Reverse osmosis,Drinking water,7.5,2013,Deep well injection,Groundwater,none,none,7.5,none,none,none,no,3200-3520 mg/L TDS equivalent,"acid, antiscalant, cartridge filters",180-194,80,none,none,none,none,"lime, caustic, chlorine",on original membranes,Deep well injection,none,FLORIDA FACILIITIES,18
FL,BROWARD,Town of Davie WTP/WRF,Town of Davie,Davie,Reverse osmosis,Drinking water,6,2013,Deep well injection,Groundwater,no new permits for surficial aquifer,none,6,2.6,none,none,no,4480-5760 mg/L TDS equivalent,"antiscalant, cartridge filters",230,80,300-450 mg/l,none,none,none,"aeration, disinfection (hypochlorite), fluoride",on original membranes,Deep well injection (haven't cleaned yet),none,FLORIDA FACILIITIES,19
